É_ÉEÉìÉçÅ[ÉhÇµÇΩéûçèÅF2023/02/15 23:56:00

,éDñy,éDñy,éDñy,éDñy,éDñy,éDñy,éDñy,éDñy,éDñy,éDñy,éDñy,éDñy,éDñy,éDñy,éDñy,éDñy,éDñy,éDñy,éDñy,éDñy,éDñy,éDñy,éDñy,éDñy,éDñy,éDñy,éDñy,éDñy,éDñy,éDñy,éDñy
2020/2/17,-0.7,8,1,14.5,0,8,1,5.02,8,1,65,0,8,1,3.6,8,1,9.8,8,1,9,0,8,1,998.2,8,1,0.0,0,8,1
2020/2/18,0.5,8,1,11.5,0,8,1,5.68,8,1,68,0,8,1,3.9,8,1,10.0,8,1,10,0,8,1,1000.8,8,1,1.1,0,8,1
2020/2/19,-1.1,8,1,6.5,0,8,1,7.09,8,1,75,0,8,1,2.2,8,1,8.5,8,1,9,0,8,1,1017.4,8,1,1.6,0,8,1
2020/2/20,-0.4,8,1,0.5,0,8,1,11.62,8,1,72,0,8,1,2.4,8,1,9.0,8,1,1,0,8,1,1024.4,8,1,5.1,0,8,1
2020/2/21,-0.7,8,1,0,1,8,1,11.56,8,1,67,0,8,1,2.9,8,1,8.3,8,1,0,1,8,1,1028.3,8,1,5.6,0,8,1
2020/2/22,2.1,8,1,4.5,0,8,1,6.23,8,1,64,0,8,1,6.6,8,1,8.8,8,1,0,1,8,1,1011.9,8,1,0.1,0,8,1
2020/2/23,1.2,8,1,13.5,0,8,1,3.91,8,1,70,0,8,1,6.7,8,1,10.0,8,1,12,0,8,1,998.6,8,1,0.0,0,8,1
2020/2/24,0.1,8,1,7.5,0,8,1,9.91,8,1,72,0,8,1,2.6,8,1,6.3,8,1,9,0,8,1,1012.3,8,1,3.7,0,8,1
2020/2/25,-0.1,8,1,5.5,0,8,1,9.23,8,1,80,0,8,1,1.7,8,1,9.3,8,1,8,0,8,1,1017.9,8,1,2.2,0,8,1
2020/2/26,-1.3,8,1,0,1,8,1,16.47,8,1,69,0,8,1,1.4,8,1,3.8,8,1,0,1,8,1,1018.2,8,1,10.2,0,8,1
2020/2/27,-2.6,8,1,2.5,0,8,1,16.30,8,1,68,0,8,1,2.8,8,1,3.8,8,1,5,0,8,1,1017.9,8,1,10.1,0,8,1
2020/2/28,-2.1,8,1,6.5,0,8,1,11.24,8,1,76,0,8,1,2.1,8,1,8.0,8,1,12,0,8,1,1018.8,8,1,4.7,0,8,1
2020/2/29,-3.4,8,1,1.0,0,8,1,15.21,8,1,75,0,8,1,2.3,8,1,9.3,8,1,1,0,8,1,1017.4,8,1,8.3,0,8,1
2020/3/1,-1.3,8,1,3.5,0,8,1,7.08,8,1,73,0,8,1,1.7,8,1,10.0,8,1,6,0,8,1,1015.1,8,1,0.3,0,8,1
2020/3/2,1.1,8,1,1.5,0,8,1,10.01,8,1,68,0,8,1,2.7,8,1,10.0,8,1,1,0,8,1,1017.8,8,1,1.5,0,8,1
2020/3/3,0.2,8,1,2.5,0,8,1,7.20,8,1,67,0,8,1,2.3,8,1,10.0,8,1,2,0,8,1,1019.3,8,1,0.7,0,8,1
2020/3/4,1.0,8,1,1.5,0,8,1,9.33,8,1,65,0,8,1,3.4,8,1,10.0,8,1,2,0,8,1,1018.2,8,1,1.4,0,8,1
2020/3/5,0.6,8,1,28.0,0,8,1,3.28,8,1,75,0,8,1,3.1,8,1,10.0,8,1,13,0,8,1,1000.4,8,1,0.0,0,8,1
2020/3/6,1.2,8,1,0.0,0,8,1,8.19,8,1,74,0,8,1,6.1,8,1,9.3,8,1,0,1,8,1,1011.3,8,1,1.5,0,8,1
2020/3/7,1.0,8,1,0.0,0,8,1,14.09,8,1,70,0,8,1,2.1,8,1,8.5,8,1,0,1,8,1,1020.1,8,1,5.4,0,8,1
2020/3/8,3.8,8,1,0.0,0,8,1,10.70,8,1,67,0,8,1,4.1,8,1,7.8,8,1,0,1,8,1,1017.9,8,1,3.8,0,8,1
2020/3/9,5.6,8,1,0,1,8,1,13.99,8,1,63,0,8,1,1.6,8,1,9.5,8,1,0,1,8,1,1015.4,8,1,7.1,0,8,1
2020/3/10,4.6,8,1,24.0,0,8,1,4.45,8,1,59,0,8,1,1.6,8,1,9.0,8,1,0,1,8,1,1003.1,8,1,0.0,0,8,1
2020/3/11,2.9,8,1,11.0,0,8,1,7.24,8,1,59,0,8,1,4.0,5,1,10.0,8,1,6,0,8,1,987.9,8,1,0.6,0,8,1
2020/3/12,3.2,8,1,7.0,0,8,1,16.57,8,1,62,0,8,1,3.5,8,1,7.0,8,1,3,0,8,1,1010.0,8,1,7.5,0,8,1
2020/3/13,1.6,8,1,12.0,0,8,1,16.01,8,1,56,0,8,1,4.4,8,1,8.3,8,1,0,1,8,1,1006.6,8,1,7.0,0,8,1
2020/3/14,0.6,8,1,0.0,0,8,1,15.78,8,1,51,0,8,1,2.4,8,1,4.8,8,1,0,1,8,1,1008.1,8,1,6.7,0,8,1
2020/3/15,0.7,8,1,0.0,0,8,1,20.20,8,1,50,0,8,1,2.4,8,1,6.3,8,1,0,1,8,1,1003.5,8,1,10.9,0,8,1
2020/3/16,-0.6,8,1,2.0,0,8,1,13.20,8,1,53,0,8,1,3.0,8,1,9.5,8,1,6,0,8,1,1005.9,8,1,4.1,0,8,1
2020/3/17,2.5,8,1,0.0,0,8,1,18.08,8,1,51,0,8,1,2.4,8,1,5.0,8,1,0,1,8,1,1004.9,8,1,7.4,0,8,1
2020/3/18,5.7,8,1,0,1,8,1,19.71,8,1,45,0,8,1,2.1,8,1,3.3,8,1,0,1,8,1,1003.9,8,1,10.4,0,8,1
2020/3/19,6.7,8,1,0,1,8,1,15.72,8,1,40,0,8,1,6.0,8,1,5.0,8,1,0,1,8,1,1001.7,8,1,8.6,0,8,1
2020/3/20,6.2,8,1,4.0,0,8,1,11.83,8,1,32,0,8,1,5.7,8,1,10.0,8,1,0,1,8,1,984.8,8,1,2.7,0,8,1
2020/3/21,6.6,8,1,0.5,0,8,1,15.18,8,1,24,0,8,1,5.0,8,1,5.5,8,1,0,1,8,1,998.4,8,1,6.8,0,8,1
2020/3/22,5.9,8,1,0.0,0,8,1,16.65,8,1,20,0,8,1,2.4,8,1,5.0,8,1,0,1,8,1,1002.9,8,1,8.0,0,8,1
2020/3/23,2.6,8,1,5.5,0,8,1,11.44,8,1,19,0,8,1,3.1,8,1,7.5,8,1,5,0,8,1,1005.9,8,1,3.8,0,8,1
2020/3/24,1.9,8,1,2.5,0,8,1,13.34,8,1,22,0,8,1,4.4,8,1,8.8,8,1,5,0,8,1,1010.4,8,1,3.9,0,8,1
2020/3/25,4.9,8,1,0,1,8,1,21.87,8,1,16,0,8,1,4.2,8,1,2.3,8,1,0,1,8,1,1012.3,8,1,11.5,0,8,1
2020/3/26,5.0,8,1,0,1,8,1,18.95,8,1,10,0,8,1,3.1,8,1,2.5,8,1,0,1,8,1,1013.7,8,1,9.7,0,8,1
2020/3/27,7.4,8,1,1.0,0,8,1,8.67,8,1,5,0,8,1,6.5,8,1,10.0,8,1,0,1,8,1,1007.8,8,1,3.2,0,8,1
2020/3/28,4.0,8,1,1.0,0,8,1,16.49,8,1,0,1,8,1,5.9,8,1,8.8,8,1,0,1,8,1,1010.5,8,1,6.0,0,8,1
2020/3/29,4.0,8,1,0,1,8,1,20.56,8,1,0,1,8,1,3.1,8,1,6.5,8,1,0,1,8,1,1018.3,8,1,11.7,0,8,1
2020/3/30,5.6,8,1,0,1,8,1,22.79,8,1,0,1,8,1,2.0,8,1,0.0,8,1,0,1,8,1,1018.4,8,1,11.8,0,8,1
2020/3/31,7.3,8,1,0,1,8,1,21.89,8,1,0,1,8,1,3.8,8,1,5.0,8,1,0,1,8,1,1017.2,8,1,10.2,0,8,1
2020/4/1,9.0,8,1,0,1,8,1,16.96,8,1,0,1,8,1,3.7,8,1,10.0,8,1,0,1,8,1,1008.8,8,1,7.6,0,8,1
2020/4/2,7.0,8,1,0,1,8,1,12.02,8,1,0,1,8,1,5.8,8,1,9.5,8,1,0,1,8,1,1002.6,8,1,1.3,0,8,1
2020/4/3,6.4,8,1,0,1,8,1,22.20,8,1,0,1,8,1,3.0,8,1,1.0,8,1,0,1,8,1,1009.9,8,1,11.7,0,8,1
2020/4/4,9.1,8,1,0.0,0,8,1,22.03,8,1,0,1,8,1,6.4,8,1,8.0,8,1,0,1,8,1,1008.2,8,1,10.0,0,8,1
2020/4/5,5.2,8,1,3.0,0,8,1,11.71,8,1,0,1,8,1,4.4,8,1,9.5,8,1,0,1,8,1,1005.8,8,1,3.4,0,8,1
2020/4/6,3.6,8,1,2.0,0,8,1,11.84,8,1,0,1,8,1,2.3,8,1,9.8,8,1,0,1,8,1,1000.2,8,1,2.1,0,8,1
2020/4/7,5.3,8,1,0.5,0,8,1,6.81,8,1,0,1,8,1,2.4,8,1,10.0,8,1,0,1,8,1,1005.8,8,1,0.0,0,8,1
2020/4/8,6.8,8,1,1.0,0,8,1,16.44,8,1,0,1,8,1,2.8,8,1,7.5,8,1,0,1,8,1,1009.8,8,1,5.7,0,8,1
2020/4/9,4.0,8,1,14.5,0,8,1,8.07,8,1,0,1,8,1,1.7,8,1,9.8,8,1,0,1,8,1,1012.7,8,1,0.2,0,8,1
2020/4/10,3.9,8,1,2.0,0,8,1,13.56,8,1,0,1,8,1,4.5,8,1,7.5,8,1,0,1,8,1,1012.9,8,1,5.5,0,8,1
2020/4/11,4.5,8,1,0.5,0,8,1,17.88,8,1,0,1,8,1,4.8,8,1,8.8,8,1,0,1,8,1,1014.3,8,1,6.3,0,8,1
2020/4/12,3.5,8,1,0,1,8,1,24.50,8,1,0,1,8,1,3.2,8,1,2.5,8,1,0,1,8,1,1014.0,8,1,10.9,0,8,1
2020/4/13,5.6,8,1,0,1,8,1,25.25,8,1,0,1,8,1,2.8,8,1,2.3,8,1,0,1,8,1,1008.9,8,1,11.4,0,8,1
2020/4/14,5.7,8,1,0,1,8,1,25.87,8,1,0,1,8,1,5.0,8,1,0.0,8,1,0,1,8,1,1002.9,8,1,12.5,0,8,1
2020/4/15,4.8,8,1,0.0,0,8,1,18.56,8,1,0,1,8,1,4.8,8,1,7.0,8,1,0,1,8,1,1009.0,8,1,5.5,0,8,1
2020/4/16,5.0,8,1,0.0,0,8,1,22.10,8,1,0,1,8,1,5.7,8,1,4.8,8,1,0,1,8,1,1017.8,8,1,8.7,0,8,1
2020/4/17,7.2,8,1,0,1,8,1,25.44,8,1,0,1,8,1,2.2,8,1,2.8,8,1,0,1,8,1,1020.6,8,1,12.4,0,8,1
2020/4/18,8.7,8,1,0.0,0,8,1,20.70,8,1,0,1,8,1,6.9,8,1,9.8,8,1,0,1,8,1,1017.2,8,1,8.5,0,8,1
2020/4/19,11.5,8,1,0,1,8,1,25.10,8,1,0,1,8,1,2.7,8,1,4.0,8,1,0,1,8,1,1019.3,8,1,11.6,0,8,1
2020/4/20,8.2,8,1,16.0,0,8,1,5.97,8,1,0,1,8,1,6.0,8,1,10.0,8,1,0,1,8,1,1009.3,8,1,1.5,0,8,1
2020/4/21,9.6,8,1,1.5,0,8,1,18.35,8,1,0,1,8,1,5.0,8,1,5.5,8,1,0,1,8,1,997.0,8,1,5.9,0,8,1
2020/4/22,5.7,8,1,0.5,0,8,1,19.80,8,1,0,1,8,1,4.3,8,1,8.0,8,1,0,1,8,1,996.5,8,1,6.3,0,8,1
2020/4/23,3.9,8,1,1.5,0,8,1,15.36,8,1,0,1,8,1,3.7,8,1,10.0,8,1,0,1,8,1,997.7,8,1,2.6,0,8,1
2020/4/24,5.8,8,1,0.0,0,8,1,14.14,8,1,0,1,8,1,2.2,8,1,7.8,8,1,0,1,8,1,1004.6,8,1,3.7,0,8,1
2020/4/25,6.9,8,1,6.5,0,8,1,13.79,8,1,0,1,8,1,4.1,8,1,9.3,8,1,0,1,8,1,1007.1,8,1,3.5,0,8,1
2020/4/26,7.7,8,1,0.5,0,8,1,7.90,8,1,0,1,8,1,4.6,8,1,9.8,8,1,0,1,8,1,1006.2,8,1,0.4,0,8,1
2020/4/27,6.2,8,1,1.5,0,8,1,16.21,8,1,0,1,8,1,3.4,8,1,9.8,8,1,0,1,8,1,1011.9,8,1,5.4,0,8,1
2020/4/28,9.8,8,1,0.0,0,8,1,21.76,8,1,0,1,8,1,3.1,8,1,7.5,8,1,0,1,8,1,1009.8,8,1,8.9,0,8,1
2020/4/29,9.7,8,1,1.0,0,8,1,9.80,8,1,0,1,8,1,2.6,8,1,7.0,8,1,0,1,8,1,1008.5,8,1,2.5,0,8,1
2020/4/30,13.0,8,1,0,1,8,1,25.23,8,1,0,1,8,1,2.4,8,1,5.3,8,1,0,1,8,1,1012.0,8,1,11.3,0,8,1
2020/5/1,14.3,8,1,0.0,0,8,1,13.00,8,1,0,1,8,1,3.4,8,1,8.0,8,1,0,1,8,1,1006.1,8,1,3.6,0,8,1
2020/5/2,15.6,8,1,1.0,0,8,1,21.73,8,1,0,1,8,1,4.1,8,1,6.3,8,1,0,1,8,1,1001.0,8,1,8.9,0,8,1
2020/5/3,17.4,8,1,0,1,8,1,19.47,8,1,0,1,8,1,2.8,8,1,7.5,8,1,0,1,8,1,1004.8,8,1,6.8,0,8,1
2020/5/4,16.7,8,1,2.0,0,8,1,6.53,8,1,0,1,8,1,2.9,8,1,10.0,8,1,0,1,8,1,999.4,8,1,0.9,0,8,1
2020/5/5,8.1,8,1,1.5,0,8,1,21.41,8,1,0,1,8,1,5.8,8,1,6.3,8,1,0,1,8,1,1008.5,8,1,7.7,0,8,1
2020/5/6,8.1,8,1,6.5,0,8,1,7.41,8,1,0,1,8,1,4.1,8,1,10.0,8,1,0,1,8,1,1011.7,8,1,0.7,0,8,1
2020/5/7,9.7,8,1,0.0,0,8,1,26.03,8,1,0,1,8,1,3.6,8,1,6.8,8,1,0,1,8,1,1013.5,8,1,9.7,0,8,1
2020/5/8,15.1,8,1,0,1,8,1,27.72,8,1,0,1,8,1,2.4,8,1,7.5,8,1,0,1,8,1,1012.6,8,1,12.4,0,8,1
2020/5/9,15.7,8,1,0,1,8,1,22.84,8,1,0,1,8,1,2.0,8,1,10.0,8,1,0,1,8,1,1009.5,8,1,7.7,0,8,1
2020/5/10,12.4,8,1,9.5,0,8,1,3.17,8,1,0,1,8,1,4.0,8,1,10.0,8,1,0,1,8,1,997.3,8,1,0.0,0,8,1
2020/5/11,13.9,8,1,2.0,0,8,1,13.24,8,1,0,1,8,1,2.9,8,1,7.8,8,1,0,1,8,1,993.0,8,1,4.5,0,8,1
2020/5/12,15.5,8,1,0.0,0,8,1,21.96,8,1,0,1,8,1,5.1,8,1,7.5,8,1,0,1,8,1,1000.5,8,1,11.2,0,8,1
2020/5/13,14.6,8,1,0.0,0,8,1,20.20,8,1,0,1,8,1,3.9,8,1,5.3,8,1,0,1,8,1,999.1,8,1,6.6,0,8,1
2020/5/14,14.1,8,1,0.0,0,8,1,24.20,8,1,0,1,8,1,5.3,8,1,3.8,8,1,0,1,8,1,1007.0,8,1,9.6,0,8,1
2020/5/15,15.9,8,1,0,1,8,1,29.01,8,1,0,1,8,1,2.7,8,1,4.5,8,1,0,1,8,1,1013.6,8,1,13.0,0,8,1
2020/5/16,13.0,8,1,0.0,0,8,1,12.42,8,1,0,1,8,1,5.4,8,1,10.0,8,1,0,1,8,1,1007.2,8,1,0.8,0,8,1
2020/5/17,11.6,8,1,0.0,0,8,1,10.25,8,1,0,1,8,1,4.5,8,1,7.0,8,1,0,1,8,1,1002.9,8,1,1.4,0,8,1
2020/5/18,9.6,8,1,0,1,8,1,16.77,8,1,0,1,8,1,3.3,8,1,9.0,8,1,0,1,8,1,1009.5,8,1,3.2,0,8,1
2020/5/19,11.4,8,1,0,1,8,1,27.86,8,1,0,1,8,1,3.3,8,1,7.5,8,1,0,1,8,1,1009.2,8,1,12.2,0,8,1
2020/5/20,10.0,8,1,0,1,8,1,14.42,8,1,0,1,8,1,3.3,8,1,8.3,8,1,0,1,8,1,1011.4,8,1,0.9,0,8,1
2020/5/21,11.0,8,1,0,1,8,1,30.97,8,1,0,1,8,1,3.4,8,1,0.5,8,1,0,1,8,1,1014.8,8,1,13.7,0,8,1
2020/5/22,10.1,8,1,0.0,0,8,1,24.62,8,1,0,1,8,1,6.2,8,1,6.8,8,1,0,1,8,1,1016.2,8,1,7.5,0,8,1
2020/5/23,12.8,8,1,0.0,0,8,1,26.52,8,1,0,1,8,1,6.2,8,1,8.8,8,1,0,1,8,1,1012.6,8,1,9.2,0,8,1
2020/5/24,15.0,8,1,3.0,0,8,1,16.42,8,1,0,1,8,1,2.8,8,1,7.8,8,1,0,1,8,1,1008.9,8,1,5.7,0,8,1
2020/5/25,15.3,8,1,8.0,0,8,1,13.63,8,1,0,1,8,1,4.0,8,1,8.8,8,1,0,1,8,1,1002.3,8,1,2.5,0,8,1
2020/5/26,12.1,8,1,0.0,0,8,1,7.93,8,1,0,1,8,1,2.0,8,1,9.3,8,1,0,1,8,1,1005.0,8,1,0.4,0,8,1
2020/5/27,12.7,8,1,12.0,0,8,1,8.41,8,1,0,1,8,1,2.8,8,1,9.3,8,1,0,1,8,1,999.2,8,1,0.6,0,8,1
2020/5/28,13.3,8,1,0,1,8,1,19.03,8,1,0,1,8,1,2.7,8,1,9.0,8,1,0,1,8,1,1001.9,8,1,3.5,0,8,1
2020/5/29,17.8,8,1,0.0,0,8,1,28.14,8,1,0,1,8,1,1.9,8,1,3.0,8,1,0,1,8,1,1006.8,8,1,12.2,0,8,1
2020/5/30,21.4,8,1,0,1,8,1,30.19,8,1,0,1,8,1,2.1,8,1,0.0,8,1,0,1,8,1,1012.3,8,1,14.1,0,8,1
