ダウンロードした時刻：2023/02/19 20:16:14

,名古屋,名古屋,名古屋,名古屋,名古屋,名古屋,名古屋,名古屋,名古屋,名古屋,名古屋,名古屋,名古屋,名古屋,名古屋,名古屋,名古屋,名古屋,名古屋,名古屋,名古屋,名古屋,名古屋,名古屋,名古屋,名古屋,名古屋,名古屋,名古屋,名古屋,名古屋
2020/4/19,16.4,8,1,0.0,0,8,1,23.13,8,1,0,1,8,1,5.0,8,1,8.0,8,1,0,1,8,1,1006.7,8,1,7.5,0,8,1
2020/4/20,14.3,8,1,22.0,0,8,1,4.77,8,1,0,1,8,1,3.1,8,1,7.8,8,1,0,1,8,1,1002.5,8,1,0.0,0,8,1
2020/4/21,14.5,8,1,0,1,8,1,12.29,8,1,0,1,8,1,2.3,8,1,7.8,8,1,0,1,8,1,1003.2,8,1,2.8,0,8,1
2020/4/22,11.2,8,1,0.0,0,8,1,24.13,8,1,0,1,8,1,5.6,8,1,6.5,8,1,0,1,8,1,1003.2,8,1,9.4,0,8,1
2020/4/23,10.4,8,1,0.0,0,8,1,21.11,8,1,0,1,8,1,4.1,8,1,5.5,8,1,0,1,8,1,1004.4,8,1,8.6,0,8,1
2020/4/24,10.2,8,1,1.0,0,8,1,19.99,8,1,0,1,8,1,3.3,8,1,3.5,8,1,0,1,8,1,1007.0,8,1,7.6,0,8,1
2020/4/25,12.5,8,1,0,1,8,1,27.62,8,1,0,1,8,1,2.9,8,1,0.0,8,1,0,1,8,1,1011.5,8,1,12.7,0,8,1
2020/4/26,16.1,8,1,0.0,0,8,1,17.19,8,1,0,1,8,1,2.7,8,1,7.5,8,1,0,1,8,1,1009.3,8,1,6.6,0,8,1
2020/4/27,15.7,8,1,0,1,8,1,27.07,8,1,0,1,8,1,4.1,8,1,3.3,8,1,0,1,8,1,1009.7,8,1,12.2,0,8,1
2020/4/28,14.8,8,1,0,1,8,1,26.80,8,1,0,1,8,1,3.9,8,1,3.5,8,1,0,1,8,1,1011.3,8,1,12.0,0,8,1
2020/4/29,16.3,8,1,0,1,8,1,26.99,8,1,0,1,8,1,2.0,8,1,0.0,8,1,0,1,8,1,1013.0,8,1,12.6,0,8,1
2020/4/30,18.7,8,1,0,1,8,1,26.94,8,1,0,1,8,1,2.9,8,1,0.0,8,1,0,1,8,1,1012.3,8,1,12.6,0,8,1
2020/5/1,20.5,8,1,0,1,8,1,23.63,8,1,0,1,8,1,2.4,8,1,3.8,8,1,0,1,8,1,1009.4,8,1,9.2,0,8,1
2020/5/2,22.5,8,1,0,1,8,1,25.80,8,1,0,1,8,1,2.3,8,1,5.0,8,1,0,1,8,1,1007.3,8,1,12.1,0,8,1
2020/5/3,20.0,8,1,0.0,0,8,1,15.54,8,1,0,1,8,1,3.8,8,1,9.8,8,1,0,1,8,1,1007.7,8,1,3.8,0,8,1
2020/5/4,19.5,8,1,4.0,0,8,1,17.24,8,1,0,1,8,1,2.3,8,1,8.8,8,1,0,1,8,1,1001.9,8,1,3.8,0,8,1
2020/5/5,23.2,8,1,0,1,8,1,26.62,8,1,0,1,8,1,2.6,8,1,7.8,8,1,0,1,8,1,1002.6,8,1,10.7,0,8,1
2020/5/6,17.8,8,1,11.0,0,8,1,2.94,8,1,0,1,8,1,2.4,8,1,8.0,8,1,0,1,8,1,1004.5,8,1,0.0,0,8,1
2020/5/7,18.1,8,1,0,1,8,1,29.85,8,1,0,1,8,1,4.5,8,1,2.5,8,1,0,1,8,1,1007.8,8,1,13.1,0,8,1
2020/5/8,18.1,8,1,0,1,8,1,22.95,8,1,0,1,8,1,3.1,8,1,6.5,8,1,0,1,8,1,1014.4,8,1,8.9,0,8,1
2020/5/9,17.9,8,1,1.5,0,8,1,6.63,8,1,0,1,8,1,2.9,8,1,9.8,8,1,0,1,8,1,1011.6,8,1,0.0,0,8,1
2020/5/10,18.1,8,1,5.5,0,8,1,3.92,8,1,0,1,8,1,2.1,8,1,10.0,8,1,0,1,8,1,1001.5,8,1,0.0,0,8,1
2020/5/11,22.5,8,1,0.0,0,8,1,29.91,8,1,0,1,8,1,4.4,8,1,3.8,8,1,0,1,8,1,998.8,8,1,13.0,0,8,1
2020/5/12,21.5,8,1,0,1,8,1,24.43,8,1,0,1,8,1,2.7,8,1,6.3,8,1,0,1,8,1,999.1,8,1,10.2,0,8,1
2020/5/13,20.0,8,1,0,1,8,1,27.01,8,1,0,1,8,1,4.7,8,1,0.8,8,1,0,1,8,1,1003.6,8,1,11.4,0,8,1
2020/5/14,20.6,8,1,0,1,8,1,27.49,8,1,0,1,8,1,2.9,8,1,5.0,8,1,0,1,8,1,1011.0,8,1,12.5,0,8,1
2020/5/15,20.3,8,1,0.0,0,8,1,15.28,8,1,0,1,8,1,3.0,8,1,10.0,8,1,0,1,8,1,1012.3,8,1,2.5,0,8,1
2020/5/16,16.5,8,1,57.0,0,8,1,3.49,8,1,0,1,8,1,2.5,8,1,10.0,8,1,0,1,8,1,1004.2,8,1,0.0,0,8,1
2020/5/17,20.8,8,1,0,1,8,1,28.58,8,1,0,1,8,1,3.8,8,1,6.0,8,1,0,1,8,1,997.9,8,1,12.1,0,8,1
2020/5/18,21.1,8,1,8.0,0,8,1,14.30,8,1,0,1,8,1,2.8,8,1,10.0,8,1,0,1,8,1,999.6,8,1,3.5,0,8,1
2020/5/19,21.1,8,1,31.5,0,8,1,16.42,8,1,0,1,8,1,2.7,8,1,8.5,8,1,0,1,8,1,991.4,8,1,3.0,0,8,1
2020/5/20,19.9,8,1,0,1,8,1,20.67,8,1,0,1,8,1,3.2,8,1,6.0,8,1,0,1,8,1,999.0,8,1,7.0,0,8,1
2020/5/21,18.8,8,1,0,1,8,1,15.61,8,1,0,1,8,1,2.4,8,1,9.3,8,1,0,1,8,1,1006.7,8,1,3.0,0,8,1
2020/5/22,20.2,8,1,0,1,8,1,25.14,8,1,0,1,8,1,2.7,8,1,8.5,8,1,0,1,8,1,1008.7,8,1,8.8,0,8,1
2020/5/23,21.4,8,1,0.0,0,8,1,20.75,8,1,0,1,8,1,2.5,8,1,9.3,8,1,0,1,8,1,1006.9,8,1,6.3,0,8,1
2020/5/24,22.4,8,1,0,1,8,1,22.64,8,1,0,1,8,1,3.4,8,1,4.8,8,1,0,1,8,1,1007.0,8,1,9.1,0,8,1
2020/5/25,23.2,8,1,0,1,8,1,18.76,8,1,0,1,8,1,2.0,8,1,9.0,8,1,0,1,8,1,1004.0,8,1,4.1,0,8,1
2020/5/26,21.9,8,1,8.5,0,8,1,9.93,8,1,0,1,8,1,2.2,8,1,10.0,8,1,0,1,8,1,1001.7,8,1,0.0,0,8,1
2020/5/27,21.9,8,1,0.0,0,8,1,23.55,8,1,0,1,8,1,3.7,8,1,8.3,8,1,0,1,8,1,999.1,8,1,8.9,0,8,1
2020/5/28,22.1,8,1,0,1,8,1,29.61,8,1,0,1,8,1,3.2,8,1,5.5,8,1,0,1,8,1,1000.8,8,1,11.6,0,8,1
2020/5/29,22.6,8,1,0,1,8,1,30.26,8,1,0,1,8,1,2.8,8,1,2.3,8,1,0,1,8,1,1006.4,8,1,13.8,0,8,1
2020/5/30,23.0,8,1,0,1,8,1,26.82,8,1,0,1,8,1,2.7,8,1,7.3,8,1,0,1,8,1,1012.6,8,1,11.2,0,8,1
2020/5/31,19.8,8,1,8.0,0,8,1,6.47,8,1,0,1,8,1,2.4,8,1,9.8,8,1,0,1,8,1,1011.3,8,1,0.0,0,8,1
2020/6/1,21.9,8,1,0.0,0,8,1,15.73,8,1,0,1,8,1,2.3,8,1,10.0,8,1,0,1,8,1,1004.7,8,1,2.0,0,8,1
2020/6/2,24.6,8,1,0.5,0,8,1,24.28,8,1,0,1,8,1,2.3,8,1,8.5,8,1,0,1,8,1,1000.9,8,1,9.5,0,8,1
2020/6/3,25.0,8,1,0,1,8,1,18.47,8,1,0,1,8,1,1.9,8,1,10.0,8,1,0,1,8,1,999.3,8,1,6.1,0,8,1
2020/6/4,24.3,8,1,0,1,8,1,21.78,8,1,0,1,8,1,2.7,8,1,8.5,8,1,0,1,8,1,999.1,8,1,7.4,0,8,1
2020/6/5,26.3,8,1,0,1,8,1,26.30,8,1,0,1,8,1,2.6,8,1,7.3,8,1,0,1,8,1,999.6,8,1,10.7,0,8,1
2020/6/6,25.8,8,1,0,1,8,1,16.08,8,1,0,1,8,1,2.5,8,1,9.8,8,1,0,1,8,1,1000.2,8,1,3.6,0,8,1
